bloomberg_name	lps_deal_no	intex_group	lps_pool_id	tranche_count
ACE 2007-HE1	A7HE1	1	1HL	10
ACE 2007-HE1	A7HE1	2	1HM	13
ACE 2007-HE2	A7HE2	1	1HT	10
ACE 2007-HE2	A7HE2	2	1HU	13
ACE 2007-HE3	A7HE3	1	1HV	10
ACE 2007-HE3	A7HE3	2	1HW	13
ACE 2007-HE4	A7HE4	1	169	10
ACE 2007-HE4	A7HE4	2	170	13
ACE 2007-HE5	A7HE5	1	674	10
ACE 2007-HE5	A7HE5	2	675	13
ACE 2007-SL1	A7SL1	1	1HA	15
ACE 2007-SL1	A7SL1	2	1HB	15
ACE 2007-SL2	A7SL2	0	956	5
ACE 2007-WM1	A7WM1	1	1HN	14
ACE 2007-WM1	A7WM1	2	1HO	17
ACE 2007-WM2	A7WM2	1	DS4	13
ACE 2007-WM2	A7WM2	2	DS5	16
AEGIS 2004-1	AE401	0	AE4	7
AEGIS 2004-2	AE402	0	AE5	11
AEGIS 2006-1	AE601	0	GOM	14
AFC 1997-3		0		6
AFC 1997-4		0		4
AFC 1998-1		0		4
AFC 1998-2		0		2
AFC 1998-3		0		4
AFC 1998-4		0		4
AFC 1999-1		0		2
AFC 1999-2		0		2
AFC 1999-3		0		2
AFC 2000-1		0		2
AGFMT 2006-1		0		8
AGFMT 2010-1A	AG101	0	12D	7
AHM 2003-1	AH031	0		3
AHM 2004-1	AH041	1	GEE	4
AHM 2004-1	AH041	2	GEF	4
AHM 2004-1	AH041	3	GEG	3
AHM 2004-1	AH041	4	GEH	4
AHM 2004-2	AH042	1	GEV	4
AHM 2004-2	AH042	2	GEW	4
AHM 2004-2	AH042	3	GEX	4
AHM 2004-2	AH042	4	GEY	9
AHM 2004-2	AH042	5	GEZ	4
AHM 2004-3	AH043	1	GFS	5
AHM 2004-3	AH043	2	GFT	5
AHM 2004-3	AH043	3	GFU	5
AHM 2004-3	AH043	4	GFV	5
AHM 2004-3	AH043	5	GFW	5
AHM 2004-3	AH043	6	GFX	9
AHM 2004-4		0		20
AHM 2005-1	AH051	1	GEC	3
AHM 2005-1	AH051	2	GF9	2
AHM 2005-1	AH051	3	GG0	2
AHM 2005-1	AH051	4	GG1	2
AHM 2005-1	AH051	5	GG2	2
AHM 2005-1	AH051	6	GG3	1
AHM 2005-1	AH051	7	GG4	2
AHM 2005-1	AH051	8	GG5	8
AHM 2005-1	AH051	9	GG6	1
AHM 2005-2	AH052	1	I36	8
AHM 2005-2	AH052	2C	I37	6
AHM 2005-2	AH052	2N	I38	6
AHM 2005-2	AH052	3	I39	6
AHM 2005-2	AH052	4	I3A	3
AHM 2005-2	AH052	5	I3B	13
AHM 2005-2	AH052	6	I3C	1
AHM 2005-3	AH053	1	I5E	9
AHM 2005-3	AH053	2	I5F	11
AHM 2005-3	AH053	3	I5G	11
AHM 2005-4	AH054	1	I5O	9
AHM 2005-4	AH054	2	I5P	1
AHM 2005-4	AH054	3	I5Q	9
AHM 2005-4	AH054	4	I5R	7
AHM 2005-4	AH054	5	I5S	7
AHM 2006-1	AH061	1	A6W	10
AHM 2006-1	AH061	2C	A6X	8
AHM 2006-1	AH061	2N	A66	8
AHM 2006-2	AH062	1	B82	10
AHM 2006-2	AH062	2	B84	5
AHM 2006-2	AH062	2	B83	5
AHM 2006-2	AH062	2A	B83	3
AHM 2006-2	AH062	2B	B84	1
AHM 2006-2	AH062	3	B85	11
AHM 2006-2	AH062	4	B86	8
AHM 2006-2	AH062	5	B87	1
AHM 2006-3	AH063	1A	WVT	3
AHM 2006-3	AH063	1B	WVU	3
AHM 2006-3	AH063	2A	WVV	2
AHM 2006-3	AH063	2B	WVX	2
AHM 2006-3	AH063	3	WVY	8
AHM 2006-3	AH063	4	WVZ	11
AHM 2007-1	AH071	0	DS6	19
AHM 2007-2	AH072	1_1	0AU	6
AHM 2007-2	AH072	1_2	0AV	11
AHM 2007-2	AH072	1_3	0AW	5
AHM 2007-2	AH072	2	0AX	1
AHMA 2005-1	AT051	1	I6C	9
AHMA 2005-1	AT051	2	I6D	9
AHMA 2005-1	AT051	3	I6E	5
AHMA 2005-1	AT051	3	I6F	5
AHMA 2005-1	AT051	3A	I6E	4
AHMA 2005-1	AT051	3B	I6F	4
AHMA 2005-2	AT052	1	0ET	9
AHMA 2005-2	AT052	2	0EU	9
AHMA 2006-1	AT061	1	0F6	15
AHMA 2006-1	AT061	"1,2,3"	0F6	4
AHMA 2006-1	AT061	2	0F7	18
AHMA 2006-2	AT062	1	0F8	13
AHMA 2006-2	AT062	2	0F9	11
AHMA 2006-3	AT063	1	BYA	13
AHMA 2006-3	AT063	2	BYB	14
AHMA 2006-3	AT063	3	BYC	14
AHMA 2006-4	AT064	1	AOR	13
AHMA 2006-4	AT064	2	AOS	11
AHMA 2006-5	AT065	0	AOT	15
AHMA 2006-6	AT066	0	0FE	20
AHMA 2007-1	AT071	0	0FF	15
AHMA 2007-2	AT072	0	0FG	16
AHMA 2007-3	AT073	0		33
AHMA 2007-4	AT074	0	605	15
AHMA 2007-5	AT075	0	431	17
ALBT 2007-OA1	ALL71	0	602	15
ALS 2000-2	S0002	0		16
AMAC 1998-1	ABN81	0		17
AMAC 1998-2	ABN82	0		25
AMAC 1998-3	ABN83	0		15
AMAC 1998-4	ABN84	0		25
AMAC 1998-5	ABN85	0		26
AMAC 1999-1	ABN91	0		21
AMAC 1999-2	ABN92	0		22
AMAC 1999-3	ABN93	0		18
AMAC 1999-4	ABN94	0		28
AMAC 1999-5	ABN95	0		19
AMAC 1999-6	ABN96	0		16
AMAC 1999-7	ABN97	0		14
AMAC 1999-8	ABN98	0		24
AMAC 2000-1	ABN01	0		17
AMAC 2000-2	ABN02	0		19
AMAC 2000-3	ABN03	0		29
AMAC 2000-4	ABN04	0		19
AMAC 2001-1	ABN11	0		19
AMAC 2001-1A	ABN1A	0		14
AMAC 2001-2	ABN12	0		14
AMAC 2001-3	ABN13	0		27
AMAC 2001-4	ABN14	0		22
AMAC 2001-5	ABN15	0		34
AMAC 2001-6	ABN16	0		20
AMAC 2001-7	ABN17	0		13
AMAC 2001-8	ABN18	0		47
AMAC 2002-1	ABN21	0		21
AMAC 2002-10	ABN20	0		39
AMAC 2002-1A	AB21A	0		16
AMAC 2002-2	ABN22	0		12
AMAC 2002-3	ABN23	0		13
